time,r,g,b,
27-5-2024 10:1:29,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,0,0,0,
27-5-2024 10:1:30,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:31,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:32,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:33,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:34,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:35,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:36,71,76,97,
27-5-2024 10:1:37,71,76,97,
27-5-2024 10:1:37,71,76,97,
27-5-2024 10:1:37,71,76,97,
27-5-2024 10:1:37,71,76,97,
27-5-2024 10:1:37,71,76,97,
27-5-2024 10:1:37,71,77,99,
27-5-2024 10:1:37,71,77,99,
27-5-2024 10:1:37,71,77,99,
27-5-2024 10:1:37,71,77,99,
27-5-2024 10:1:37,71,77,99,
27-5-2024 10:1:37,71,77,99,
27-5-2024 10:1:37,71,77,99,
27-5-2024 10:1:37,71,77,99,
27-5-2024 10:1:37,71,77,99,
27-5-2024 10:1:37,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:38,71,77,99,
27-5-2024 10:1:39,71,77,99,
27-5-2024 10:1:39,71,77,99,
