time,r,g,b,
27 5 2024 8:2:42,0,0,0,
27 5 2024 8:2:42,0,0,0,
27 5 2024 8:2:42,0,0,0,
27 5 2024 8:2:42,0,0,0,
27 5 2024 8:2:42,0,0,0,
27 5 2024 8:2:42,0,0,0,
27 5 2024 8:2:43,0,0,0,
27 5 2024 8:2:43,0,0,0,
27 5 2024 8:2:43,0,0,0,
27 5 2024 8:2:43,0,0,0,
27 5 2024 8:2:43,0,0,0,
27 5 2024 8:2:43,0,0,0,
27 5 2024 8:2:43,0,0,0,
27 5 2024 8:2:43,0,0,0,
27 5 2024 8:2:43,0,0,0,
27 5 2024 8:2:43,71,76,97,
27 5 2024 8:2:43,71,76,97,
27 5 2024 8:2:43,71,76,97,
27 5 2024 8:2:43,71,76,97,
27 5 2024 8:2:43,71,76,97,
27 5 2024 8:2:43,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:44,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:45,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:46,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:47,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:48,71,76,97,
27 5 2024 8:2:49,71,76,97,
27 5 2024 8:2:49,71,76,97,
27 5 2024 8:2:49,71,76,97,
27 5 2024 8:2:49,71,76,97,
27 5 2024 8:2:49,71,76,97,
27 5 2024 8:2:49,71,76,97,
27 5 2024 8:2:49,71,76,97,
27 5 2024 8:2:49,71,76,97,
27 5 2024 8:2:49,71,76,97,
27 5 2024 8:2:49,71,76,97,
27 5 2024 8:2:49,71,76,97,
